Name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,VESA Mounting,Viewing Angle,Inputs
Dell Alienware AW2725QF,Dell , AW2725QF | aw2725qfsap | 2932X | 210-BNJJ | 210-BNHT | GAME-AW2725QF | ,"27"" ",3840 x 2160 ,180 Hz ,0.5 ms ,IPS ,16:9 ,Black ,600 cd/m² ,0.156 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
AOC CU34G4,AOC ,CU34G4 ,"34"" ",3440 x 1440 ,180 Hz ,1 ms ,VA ,21:9 ,Black ,300 cd/m² ,0.232 mm ,Yes ,Yes ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
ASRock Challenger CL25FFA,ASRock ,CL25FFA ,"24.5"" ",1920 x 1080 ,120 Hz ,,IPS ,16:9 ,Black ,300 cd/m² ,0.282 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
LG 27G850A-B,LG , 27G850A-B | 27G850A-B.AEU | ,"27"" ",3840 x 2160 ,240 Hz ,1 ms ,IPS ,16:9 ,Black ,450 cd/m² ,0.156 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,Yes ,,178° H x 178° V , 1 x DisplayPort 2.1 | 2 x HDMI 2.1 | 
KOORUI 34E6UC,KOORUI ,34E6UC ,"34"" ",3440 x 1440 ,165 Hz ,,VA ,21:9 ,Black ,400 cd/m² ,0.232 mm ,Yes ,Yes , FreeSync | G-Sync Compatible | ,No ,75 x 75 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
MSI Pro MP243XW,MSI ,Pro MP243XW ,"23.8"" ",1920 x 1080 ,100 Hz ,4 ms ,IPS ,16:9 ,White ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync ,Yes ,75 x 75 ,178° H x 178° V , 1 x DisplayPort 1.2a | 1 x HDMI 1.4 | 
Pixio PX246 Wave,Pixio ,810166730693 ,"24"" ",1920 x 1080 ,120 Hz ,4 ms ,IPS ,16:9 ,Pink ,300 cd/m² ,0.277 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x HDMI 2.0 | 1 x VGA | 
Xiaomi Mi,Xiaomi ,XM700001 ,"34"" ",3440 x 1440 ,144 Hz ,4 ms ,VA ,21:9 ,Black ,300 cd/m² ,0.232 mm ,Yes ,Yes ,FreeSync Premium ,No ,,178° H x 178° V , 2 x DisplayPort | 2 x HDMI | 
Asus VA27EHF,Asus , 90LM0550-B031B0 | 90lm0550-b04170 | VA27EHF | ,"27"" ",1920 x 1080 ,100 Hz ,,IPS ,16:9 ,Black ,250 cd/m² ,0.311 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V ,1 x HDMI 1.4 
KTC M27P6,KTC ,M27P6 ,"27"" ",3840 x 2160 ,160 Hz ,,IPS Mini LED ,16:9 ,White ,1400 cd/m² ,0.156 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 1 x USB Type-C | 
Asus ROG Strix Pulsar XG27AQNGV,Asus , XG27AQNGV | 90LM0BF0-B013B2 | Strix Pulsar XG27AQNGV | ROG Strix Pulsar XG27AQNGV | 90LM0BF0-B01371 | ,"27"" ",2560 x 1440 ,360 Hz ,1 ms ,IPS ,16:9 ,Black ,500 cd/m² ,0.233 mm ,Yes ,No ,G-Sync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
LG UltraGear 39GS95QE-B,LG , 39GS95QE-B | 39GS95QE-B.AEU | ,"39"" ",3440 x 1440 ,240 Hz ,0.03 ms ,OLED ,21:9 ,Black ,275 cd/m² ,0.266 mm ,Yes ,Yes , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 
MSI MAG 274QF,MSI , MAG 274QF | 274QF | ,"27"" ",2560 x 1440 ,180 Hz ,0.5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.233 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 2 x HDMI 2.0b | 
KTC H32T13,KTC ,H32T13 ,"32"" ",2560 x 1440 ,120 Hz ,3 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.277 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Acer Nitro XV270U F4bmiiprx,Acer ,UM.HX0AA.402 ,"27"" ",2560 x 1440 ,400 Hz ,0.5 ms ,,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,No ,FreeSync Premium ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
LG UltraWide 34U650A-B,LG , 34U650A-B | 34U650A-B.AEU | ,"34"" ",3440 x 1440 ,100 Hz ,5 ms ,IPS ,21:9 ,Black ,300 cd/m² ,0.232 mm ,Yes ,Yes ,FreeSync ,Yes ,,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI | 
LG Ultragear 32GS85Q,LG , 32GS85Q | 32GS85Q-B.AEK | 32GS85Q-B.AHK | 32GS85Q-B.AAU | 32GS85Q-B | 32GS85Q-B.AEU | ,"31.5"" ",2560 x 1440 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.272 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI | 
Samsung Odyssey G65B,Samsung ,LS32BG652ENXGO ,"32"" ",2560 x 1440 ,240 Hz ,1 ms ,VA ,16:9 ,Black ,350 cd/m² ,0.277 mm ,Yes ,Yes ,FreeSync Premium Pro ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 22 x HDMI 2.1 | 
MSI MAG 321CUP QD-OLED,MSI , MAG 321CUP QD-OLED | 9S6-3DD54T-007 | 9S6-3DD54T-006 | 9S6-3DD54T-001 | ,"31.5"" ",3840 x 2160 ,165 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,450 cd/m² ,0.182 mm ,Yes ,Yes ,G-Sync Compatible ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 1 x HDMI 2.1 | 1 x USB Type-C | 
Pixio PX248 Wave,Pixio ,PX248WAVEW ,"23.8"" ",1920 x 1080 ,200 Hz ,1 ms ,IPS ,16:9 ,White ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync ,Yes ,75 x 75 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 
Samsung Odyssey G9,Samsung , LC49G95TSSNXZA | LC49G95TSSUXEN | LC49G95TSSRXEN | ,"49"" ",5120 x 1440 ,240 Hz ,1 ms ,VA ,32:9 ,Black / White ,1000 cd/m² ,0.234 mm ,Yes ,Yes , FreeSync Premium Pro | G-Sync Compatible | ,No ,,178° H x 178° V , 2 x DisplayPort | 1 x HDMI | 
Dell AW2723DF,Dell , AW2723DF | Aw2723dfsap | 210-BFEK | CTR1D | GAME-AW2723DF | 210-BFII | ,"27"" ",2560 x 1440 ,240 Hz ,1 ms ,IPS ,16:9 ,Silver / Black ,600 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Samsung T350,Samsung ,LF24T350FHNXZA ,"24"" ",1920 x 1080 ,75 Hz ,5 ms ,IPS ,16:9 ,Blue ,250 cd/m² ,0.277 mm ,Yes ,No ,FreeSync ,No ,,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
Dell S2725QC,Dell , S2725QC | W2FG2 | 210-BRNC | s2725qcsap | ,"27"" ",3840 x 2160 ,120 Hz ,4 ms ,IPS ,16:9 ,,350 cd/m² ,0.156 mm ,Yes ,No ,FreeSync Premium ,Yes ,100 x 100 ,178° H x 178° V , 2 x HDMI 2.1 | 1 x USB Type-C 3.2 Gen 1 | 
BenQ GW2283,BenQ , GW2283 | 9H.LHLLA.TBE | ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.248 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 2 x HDMI | 1 x VGA | 
Gigabyte GS27FC,Gigabyte , GS27FC | 20VM0-GS27FCBM-1EUR | ,"27"" ",1920 x 1080 ,180 Hz ,,VA ,16:9 ,Black ,250 cd/m² ,0.311 mm ,Yes ,Yes ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Dell Alienware AW2724HF,Dell , Aw2724hfsap | 2XKG2 | ,"27"" ",1920 x 1080 ,360 Hz ,0.5 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.311 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 2 x DisplayPort 1.4 | 1 x HDMI | 
LG UltraGear OLED 39GS95QE-W,LG ,39GS95QE-W ,"39"" ",3440 x 1440 ,240 Hz ,0.03 ms ,OLED ,21:9 ,White ,275 cd/m² ,0.266 mm ,Yes ,Yes , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Asus VA249QG,Asus ,VA249QG ,"23.8"" ",1920 x 1080 ,120 Hz ,,IPS ,16:9 ,Black ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 1.4 | 1 x VGA | 
LG UltraGear GX8 32GX850A-B,LG , 32GX850A-B | 32GX850A-B.AEU | ,"31.5"" ",3840 x 2160 ,165 Hz ,0.03 ms ,WOLED ,16:9 ,Black ,275 cd/m² ,0.182 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Dell Alienware AW3423DW,Dell , AW3423DW | 4R75F | 210-BDSZ | GAME-AW3423DW | ,"34.18"" ",3440 x 1440 ,175 Hz ,0.1 ms ,QD-OLED ,21:9 ,Black / White ,1000 cd/m² ,0.233 mm ,Yes ,Yes ,G-Sync Ultimate ,No ,,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Dell Alienware AW3225DM,Dell ,AW3225DM ,"31.5"" ",2560 x 1440 ,180 Hz ,1 ms ,VA ,16:9 ,Black ,,0.272 mm ,Yes ,Yes ,FreeSync ,No ,,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Corsair XENEON FLEX 45WQHD240,Corsair , CM-9030001-NA | 45WQHD240 | CM-9030001-PE | ,"45"" ",3440 x 1440 ,240 Hz ,0.03 ms ,OLED ,21:9 ,,1000 cd/m² ,0.306 mm ,Yes ,Yes , FreeSync Premium | G-Sync Compatible | ,No ,,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 1 x USB Type-C | 
Samsung Odyssey G5,Samsung ,LC32G57TQWNXDC ,"32"" ",2560 x 1440 ,144 Hz ,,VA ,16:9 ,Black ,250 cd/m² ,0.277 mm ,Yes ,Yes ,FreeSync ,No ,,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 2.0 | 
MSI MPG 491CQP QD-OLED,MSI , MPG 491CQP QD-OLED | 9S6-3FA84T-001 | 9S6-3FA84T-008 | MPG 491CQPDE QD-OLED | ,"49"" ",5120 x 1440 ,144 Hz ,0.03 ms ,QD-OLED ,32:9 ,Black ,250 cd/m² ,0.234 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 2 x HDMI 2.1 | 1 x USB Type-C | 
LG UltraFine evo,LG ,32U990A-S ,"32"" ",6144 x 3456 ,60 Hz ,5 ms ,Nano IPS ,16:9 ,Silver ,450 cd/m² ,0.115 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 1 x HDMI 2.1 | 1 x USB Type-C | 
Gigabyte G24F 2,Gigabyte , G24F 2 | G24F 2 US | 9DG24F2-00-1ABEU | ,"23.8"" ",1920 x 1080 ,180 Hz ,,IPS ,16:9 ,Black ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 2 x HDMI 2.0 | 
MSI PRO MP341CQW,MSI , PRO MP341CQW | 9S6-3PB2CT-009 | ,"34"" ",3440 x 1440 ,100 Hz ,4 ms ,VA ,21:9 ,White / Black ,,0.232 mm ,Yes ,Yes ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2a | 2 x HDMI 2.0b | 
Gigabyte M27Q2 QD,Gigabyte ,M27Q2 QD ,"27"" ",2560 x 1440 ,210 Hz ,1 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.233 mm ,Yes ,No ,G-Sync Compatible ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 1 x USB Type-C | 
Acer SB220Q bi,Acer ,SB220Q bi ,"21.5"" ",1920 x 1080 ,75 Hz ,4 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.248 mm ,Yes ,No ,FreeSync ,No ,,178° H x 178° V , 1 x HDMI | 1 x VGA | 
Dell Alienware AW2521HF,Dell ,AW2521HF ,"24.5"" ",1920 x 1080 ,240 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.282 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
Asus ROG Strix XG27UCG,Asus ,XG27UCG ,"27"" ",3840 x 2160 ,160 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.156 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.1 | 1 x USB Type-C | 
Asus ROG Swift 360Hz PG27AQN,Asus , 90LM0820-B01370 | PG27AQN | ROG Swift 360Hz PG27AQN | 90LM0820-B013B0 | ,"27"" ",2560 x 1440 ,360 Hz ,1 ms ,IPS ,16:9 ,Black / Copper ,600 cd/m² ,0.233 mm ,Yes ,No ,G-Sync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 3 x HDMI 2.0 | 
BenQ ZOWIE XL2540K,BenQ , XL2540K | 9H.LJMLB.QBE | ,"24.5"" ",1920 x 1080 ,240 Hz ,,TN ,16:9 ,Black / Red ,320 cd/m² ,0.282 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DisplayPort 1.2 | 3 x HDMI 2.0 | 
BenQ ZOWIE XL2586X,BenQ , XL2586X | ZOWIE XL2586X | 9H.LM4LB.QBE | ,"24.1"" ",1920 x 1080 ,540 Hz ,,TN ,16:9 ,Black ,320 cd/m² ,0.278 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,, 1 x DisplayPort 1.4 | 3 x HDMI 2.1 | 
AOC Agon PRO AG346UCD,AOC ,AG346UCD ,"34"" ",3440 x 1440 ,175 Hz ,0.03 ms ,QD-OLED ,21:9 ,Black ,1000 cd/m² ,0.232 mm ,Yes ,Yes , FreeSync | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Samsung Odyssey Neo G70NC,Samsung , LS43CG702NNXZA | S43CG702NN | ,"43"" ",3840 x 2160 ,144 Hz ,,VA Mini LED ,16:9 ,Black / White ,400 cd/m² ,0.248 mm ,Yes ,No ,FreeSync Premium Pro ,Yes ,200 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Acer Predator X27U bmiipruzx,Acer , UM.HXXAA.001 | Predator X27U bmiipruzx | UM.HXXEE.001 | ,"27"" ",2560 x 1440 ,240 Hz ,0.03 ms ,OLED ,16:9 ,Black ,1000 cd/m² ,0.233 mm ,Yes ,No ,FreeSync Premium Pro ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 
AOC C24G1,AOC ,C24G1 ,"24"" ",1920 x 1080 ,144 Hz ,1 ms ,VA ,16:9 ,Black ,250 cd/m² ,0.277 mm ,Yes ,Yes ,FreeSync ,No ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 1 x VGA | 
Acer V226HQL H,Acer ,UM.WV6AA.H01 ,"21.5"" ",1920 x 1080 ,100 Hz ,4 ms ,VA ,16:9 ,Black ,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
ViewEra V158HB,ViewEra ,V158HB ,"15"" ",1024 x 768 ,60 Hz ,8 ms ,TN ,4:3 ,Black ,350 cd/m² ,0.298 mm ,No ,No ,None ,Yes ,,170° H x 160° V ,1 x VGA 
ViewSonic VX3276-4K-MHD,ViewSonic ,VX3276-4K-MHD ,"31.5"" ",3840 x 2160 ,60 Hz ,3 ms ,VA ,16:9 ,Silver ,300 cd/m² ,0.182 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x Mini-DisplayPort | 2 x HDMI | 
HP OMEN 24,HP , 780D9AA#ABA | 780D9AA | OMEN 24 | ,"23.8"" ",1920 x 1080 ,165 Hz ,1 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Philips Evnia 5000 32M2C5501,Philips , 32M2C5501/00 | 32M2C5501/75 | ,"31.5"" ",2560 x 1440 ,180 Hz ,1 ms ,VA ,16:9 ,White ,300 cd/m² ,0.272 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Pixio PXC248 Wave,Pixio ,PXC248WAVEW ,"24"" ",1920 x 1080 ,200 Hz ,1 ms ,VA ,16:9 ,White ,,0.277 mm ,Yes ,Yes ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 
Lenovo Legion R24e,Lenovo ,67CCGAC4US ,"23.8"" ",1920 x 1080 ,180 Hz ,,IPS ,16:9 ,,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync ,No ,,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.1 | 
Dell Alienware AW3425DWM,Dell ,AW3425DWM ,"34"" ",3440 x 1440 ,180 Hz ,1 ms ,VA ,21:9 ,Black ,400 cd/m² ,0.232 mm ,Yes ,Yes ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.1 | 
AOC CQ27G4X,AOC ,CQ27G4X ,"27"" ",2560 x 1440 ,180 Hz ,1 ms ,VA ,16:9 ,Black ,300 cd/m² ,0.233 mm ,Yes ,Yes ,FreeSync ,No ,,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Lenovo Legion Y25-25,Lenovo ,66AAGAC6US ,"24.5"" ",1920 x 1080 ,240 Hz ,,IPS ,16:9 ,Black / Blue ,400 cd/m² ,0.282 mm ,Yes ,No ,FreeSync Premium ,No ,,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 
Dell S2721DGF,Dell , S2721DGF | DCY89 | 210-AXEH | ,"27"" ",2560 x 1440 ,165 Hz ,1 ms ,IPS ,16:9 ,Silver / Blue ,400 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
Asus ROG Swift PG65UQ,Asus , PG65UQ | 90LM0460-B01370 | ,"64.5"" ",3840 x 2160 ,144 Hz ,4 ms ,VA ,16:9 ,Black ,1000 cd/m² ,0.372 mm ,Yes ,No ,G-Sync Ultimate ,Yes ,,178° H x 178° V , 1 x DisplayPort | 4 x HDMI | 
KOORUI GP01,KOORUI ,GP01 ,"23.8"" ",2560 x 1440 ,165 Hz ,1 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.206 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
MSI G32C4X,MSI ,G32C4X ,"31.5"" ",1920 x 1080 ,250 Hz ,,VA ,16:9 ,Black ,300 cd/m² ,0.363 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2a | 2 x HDMI 2.0 | 
Gigabyte ‎M28U,Gigabyte , M28U-SA | M28U-EK | M28U-EU | M28U | ,"28"" ",3840 x 2160 ,144 Hz ,1 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.161 mm ,Yes ,No ,FreeSync Premium Pro ,No ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
MSI MPG 274URDFW E16M,MSI ,MPG 274URDFW E16M ,"27"" ",3840 x 2160 ,160 Hz ,0.5 ms ,IPS Mini LED ,16:9 ,Black / White ,1000 cd/m² ,0.156 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 2 x HDMI 2.1 | 
ASRock Phantom Gaming PG27FFX1B,ASRock ,PG27FFX1B ,"27"" ",1920 x 1080 ,520 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.311 mm ,Yes ,No ,FreeSync Premium ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Asus TUF Gaming VG279QM1A,Asus , 90LM05X0-B013B0 | TUF Gaming VG279QM1A | 90lm05x0-b01370 | VG279QM1A | ,"27"" ",1920 x 1080 ,280 Hz ,1 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.311 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Philips 241V8LB,Philips , 241V8LB | 241V8LB/27 | ,"23.8"" ",1920 x 1080 ,100 Hz ,4 ms ,VA ,16:9 ,Black ,250 cd/m² ,0.274 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
Acer Nitro VG252Q P,Acer ,UM.KV2SG.P01 ,"24.5"" ",1920 x 1080 ,144 Hz ,,IPS ,16:9 ,Black / Red ,400 cd/m² ,0.282 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,Yes ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
Asus ROG Strix XG259QNS,Asus , XG259QNS | ROG Strix XG259QNS | 90LM09M0-B01370 | ,"24.5"" ",1920 x 1080 ,380 Hz ,0.3 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.282 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Asus ProArt Display PA248QV,Asus , PA248QV | 90LM05K1-B01370 | ,"24.1"" ",1920 x 1200 ,75 Hz ,5 ms ,IPS ,16:10 ,Black ,300 cd/m² ,0.27 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 1 x VGA | 
LG 27GR95QE-B,LG , 27GR95QE-B | 27GR95QE-B.AUS | 27GR95QE-B.AEU | 27GR95QE-B.AEK | ,"26.5"" ",2560 x 1440 ,240 Hz ,0.03 ms ,OLED ,16:9 ,Black ,200 cd/m² ,0.229 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
Asus ROG Strix XG32WCS,Asus , XG32WCS | 90LM0AC0-B019B0 | ,"31.5"" ",2560 x 1440 ,180 Hz ,1 ms ,VA ,16:9 ,Black ,350 cd/m² ,0.272 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 1 x USB Type-C | 
AOC G2490VX,AOC ,G2490VX ,"23.8"" ",1920 x 1080 ,144 Hz ,1 ms ,VA ,16:9 ,Black / Red ,350 cd/m² ,0.274 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
Asus ROG Strix XG27AQV,Asus , XG27AQV | 90LM08G0-B01AB0 | ROG Strix XG27AQV | 90LM08G0-B01A70 | ,"27"" ",2560 x 1440 ,170 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,Yes , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 2 x HDMI 2.0 | 
BenQ Zowie XL2566K,BenQ , XL2566K | 9H.LKRLB.QBE | ,"24.5"" ",1920 x 1080 ,360 Hz ,,TN ,16:9 ,Black / Red ,320 cd/m² ,0.282 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,170° H x 160° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Asus ROG Strix XG259CS,Asus , XG259CS | ROG Strix XG259CS | 90lm0am0-b01370 | 90LM0AM0-B013B0 | ,"24.5"" ",1920 x 1080 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.282 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 1 x USB Type-C | 
KTC Q24T09,KTC ,Q24T09 ,"24"" ",2560 x 1440 ,180 Hz ,,IPS ,16:9 ,Black ,350 cd/m² ,0.208 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 2 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
MSI MAG 321UP QD-OLED,MSI , MAG 321UP QD-OLED | 9S6-3DD39T-025 | MAG 321UPDE QD-OLED | 9S6-3DD39T-012 | ,"31.5"" ",3840 x 2160 ,165 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.182 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 2 x HDMI 2.1 | 1 x USB Type-C | 
AOC U27G4R,AOC ,U27G4R ,"27"" ",3840 x 2160 ,160 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.156 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
