Name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Efficiency Core Clock,Efficiency Core Boost Clock,Model
Intel Xeon E3-1265L V3,Intel ,CM8064601467406 ,Intel Xeon E3 ,Haswell ,Haswell ,LGA1150 ,4.0,8.0,2.5 GHz ,3.7 GHz ,1 MB ,8 MB ,45 W ,Intel HD Graphics ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E3-1240L V5,Intel ,CM8066201935808 ,Intel Xeon E3 ,Skylake ,Skylake-H ,LGA1151 ,4.0,8.0,2.1 GHz ,3.2 GHz ,1 MB ,8 MB ,25 W ,None ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Ryzen 3 1200 (12nm),AMD ,YD1200BBM4KAF ,AMD Ryzen 3 ,Zen+ ,Pinnacle Ridge ,AM4 ,4.0,4.0,3.1 GHz ,3.4 GHz ,2 MB ,8 MB ,65 W ,None ,,No ,No ,OEM/Tray ,12 nm ,No ,No ,,,
Intel Core i7-4790T,Intel ,CM8064601561513 ,Intel Core i7 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,4.0,8.0,2.7 GHz ,3.9 GHz ,1 MB ,8 MB ,45 W ,None ,,No ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-6900K,Intel ,CM8067102056010 ,Intel Core i7 ,Broadwell ,Broadwell-E ,LGA2011-3 ,8.0,16.0,3.2 GHz ,3.7 GHz ,2 MB ,20 MB ,140 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i3-6098P,Intel ,BX80662I36098P ,Intel Core i3 ,Skylake ,Skylake-S ,LGA1151 ,2.0,4.0,3.6 GHz ,,0.5 MB ,3 MB ,54 W ,Intel HD Graphics 510 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i9-7900X,Intel ,CD8067303286804 ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,10.0,20.0,3.3 GHz ,4.5 GHz ,10 MB ,13.75 MB ,140 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E3-1245 V2,Intel ,BX80637E31245V2 ,Intel Xeon E3 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,4.0,8.0,3.4 GHz ,,1 MB ,8 MB ,77 W ,Intel HD Graphics P4000 ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E5-1680 V3,Intel ,CM8064401547809 ,Intel Xeon E5 ,Haswell ,Haswell-EP ,LGA2011-3 ,8.0,16.0,3.2 GHz ,3.8 GHz ,2 MB ,20 MB ,140 W ,None ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i3-6100,Intel ,CM8066201927202 ,Intel Core i3 ,Skylake ,Skylake-S ,LGA1151 ,2.0,4.0,3.7 GHz ,,0.5 MB ,3 MB ,51 W ,Intel HD Graphics 530 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-7820X,Intel ,CD8067303611000 ,Intel Core i7 ,Skylake ,Skylake-X ,LGA2066 ,8.0,16.0,3.6 GHz ,4.5 GHz ,8 MB ,11 MB ,140 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-9900T,Intel ,CM8068403874122 ,Intel Core i9 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,8.0,16.0,2.1 GHz ,4.4 GHz ,2 MB ,16 MB ,35 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-9960X,Intel ,BX80673I99960X ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,16.0,32.0,3.1 GHz ,4.4 GHz ,16 MB ,22 MB ,165 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Celeron E3400,Intel ,BX80571E3400 ,Intel Celeron ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,2.6 GHz ,,1 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Core 2 Quad Q6600,Intel ,BX80562Q6600 ,Intel Core 2 Quad ,Core ,Kentsfield ,LGA775 ,4.0,4.0,2.4 GHz ,,8 MB ,0 MB ,100 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Pentium G640T,Intel ,BX80623G640T ,Intel Pentium ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,2.0,2.0,2.4 GHz ,,0.5 MB ,3 MB ,35 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Xeon E5-2650L,Intel ,CM8062107185309 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,8.0,16.0,1.8 GHz ,2.3 GHz ,2 MB ,20 MB ,70 W ,None ,,Yes ,No ,OEM/Tray ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-5675C,Intel ,BX80658I55675C ,Intel Core i5 ,Broadwell ,Broadwell ,LGA1150 ,4.0,4.0,3.1 GHz ,3.6 GHz ,1 MB ,4 MB ,65 W ,Iris Pro Graphics 6200 ,,No ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
AMD Ryzen 7 1800X,AMD ,YD180XBCAEMPK ,AMD Ryzen 7 ,Zen ,Summit Ridge ,AM4 ,8.0,16.0,3.6 GHz ,4 GHz ,4 MB ,16 MB ,95 W ,None ,,No ,Yes ,Boxed ,14 nm ,Yes ,Yes ,,,
Intel Core i5-3570S,Intel ,CM8063701093901 ,Intel Core i5 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,4.0,4.0,3.1 GHz ,3.8 GHz ,1 MB ,6 MB ,65 W ,Intel HD Graphics 2500 ,,No ,No ,OEM/Tray ,22 nm ,No ,No ,,,
Intel Core i5-10600K,Intel ,BX8070110600KA ,Intel Core i5 ,Comet Lake ,Comet Lake ,LGA1200 ,6.0,12.0,4.1 GHz ,4.8 GHz ,1.5 MB ,12 MB ,125 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Ryzen 7 PRO 9745,AMD ,100-000001408 ,AMD Ryzen 7 PRO ,Zen 5 ,Granite Ridge ,AM5 ,8.0,16.0,3.8 GHz ,5.4 GHz ,8 MB ,32 MB ,65 W ,Radeon ,192 GB ,Yes ,No ,OEM/Tray ,4 nm ,No ,Yes ,,,
Intel Core i5-3450S,Intel , BX80637I53450S | BX806237I53450S | ,Intel Core i5 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,4.0,4.0,2.8 GHz ,,1 MB ,6 MB ,65 W ,Intel HD Graphics 2500 ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Xeon E-2236,Intel ,CM8068404174603 ,Intel Xeon E ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,6.0,12.0,3.4 GHz ,4.8 GHz ,1.5 MB ,12 MB ,80 W ,None ,128 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E3-1275 V6,Intel ,BX80677E31275V6 ,Intel Xeon E3 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,8.0,3.8 GHz ,4.2 GHz ,1 MB ,8 MB ,73 W ,Intel HD Graphics P630 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD Ryzen 5 PRO 7445,AMD ,100-000001899 ,AMD Ryzen 5 PRO ,Zen 4 ,Raphael ,AM5 ,6.0,12.0,3.3 GHz ,4.3 GHz ,6 MB ,16 MB ,65 W ,Radeon ,128 GB ,Yes ,No ,Boxed ,5 nm ,No ,Yes ,,,
AMD FX-4100,AMD ,FD4100WMGUSBX ,AMD FX ,Bulldozer ,Zambezi ,AM3+ ,4.0,4.0,3.6 GHz ,,4 MB ,8 MB ,95 W ,None ,,No ,Yes ,OEM/Tray ,32 nm ,Yes ,No ,,,
Intel Core i5-3350P,Intel ,BX80637i53350P ,Intel Core i5 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,4.0,4.0,3.1 GHz ,,1 MB ,6 MB ,69 W ,None ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Xeon E3-1275 V2,Intel ,BX80637E31275V2 ,Intel Xeon E3 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,4.0,8.0,3.5 GHz ,,1 MB ,32 MB ,77 W ,Intel HD Graphics P4000 ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-4771,Intel ,BX80646I74771 ,Intel Core i7 ,Haswell ,Haswell ,LGA1150 ,4.0,8.0,3.5 GHz ,3.9 GHz ,1 MB ,8 MB ,84 W ,Intel HD Graphics 4600 ,,No ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i5-3340,Intel ,BX80637I53340 ,Intel Core i5 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,4.0,4.0,3.1 GHz ,3.3 GHz ,1 MB ,6 MB ,77 W ,Intel HD Graphics 2500 ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Xeon E5-2670,Intel ,BX80621E52670 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,8.0,16.0,2.6 GHz ,3.3 GHz ,2 MB ,20 MB ,115 W ,None ,,Yes ,No ,Boxed ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Celeron G1840,Intel ,BX80646G1840 ,Intel Celeron ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,2.0,2.0,2.8 GHz ,,0.5 MB ,2 MB ,53 W ,Intel HD Graphics ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Core i5-4690S,Intel ,BX80646I54690S ,Intel Core i5 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,4.0,4.0,3.2 GHz ,3.9 GHz ,1 MB ,6 MB ,65 W ,Intel HD Graphics 4600 ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Core i3-4160,Intel ,CM8064601483644 ,Intel Core i3 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,2.0,4.0,3.6 GHz ,,0.5 MB ,3 MB ,54 W ,Intel HD Graphics 4400 ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-1650,Intel ,CM8062101102002 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,6.0,12.0,3.2 GHz ,3.8 GHz ,1.5 MB ,12 MB ,130 W ,None ,,Yes ,No ,OEM/Tray ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2650L V2,Intel ,CM8063501287602 ,Intel Xeon E5 ,Ivy Bridge ,Ivy Bridge-EP ,LGA2011 ,10.0,20.0,1.7 GHz ,2.1 GHz ,2.5 MB ,25 MB ,70 W ,None ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-7960X,Intel ,BX80673I97960X ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,16.0,32.0,2.8 GHz ,4.4 GHz ,16 MB ,22 MB ,165 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-8500,Intel ,CM8068403362607 ,Intel Core i5 ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,6.0,3 GHz ,4.1 GHz ,1.5 MB ,9 MB ,65 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core i5-4590T,Intel ,CM8064601561826 ,Intel Core i5 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,4.0,8.0,2 GHz ,,1 MB ,6 MB ,35 W ,Intel HD Graphics 4000 ,,No ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-10850KA Avengers Limited Edition,Intel ,BX8070110850KA ,Intel Core i9 ,Comet Lake ,Comet Lake ,LGA1200 ,10.0,20.0,3.6 GHz ,5.2 GHz ,2.5 MB ,20 MB ,125 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,Core i9-10850KA Avengers Limited Edition 
AMD Ryzen 5 PRO 9645,AMD ,100-000001409 ,AMD Ryzen 5 PRO ,Zen 5 ,Granite Ridge ,AM5 ,6.0,12.0,3.9 GHz ,5.4 GHz ,6 MB ,32 MB ,65 W ,Radeon ,192 GB ,Yes ,No ,OEM/Tray ,4 nm ,No ,Yes ,,,
AMD EPYC 4245P,AMD ,100-100001555WOF ,AMD EPYC ,Zen 5 ,Grado ,AM5 ,6.0,12.0,3.9 GHz ,5.4 GHz ,6 MB ,32 MB ,65 W ,Radeon ,,Yes ,No ,Boxed ,4 nm ,No ,Yes ,,,
Intel Pentium Gold G6500,Intel ,BX80701G6500 ,Intel Pentium Gold ,Comet Lake ,Comet Lake ,LGA1200 ,2.0,4.0,4.1 GHz ,,0.5 MB ,4 MB ,58 W ,Intel UHD Graphics 630 ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD Athlon X4 950,AMD ,AD950XAGABBOX ,AMD Athlon X4 ,Excavator ,Bristol Ridge ,AM4 ,4.0,4.0,3.5 GHz ,3.8 GHz ,2 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Core 2 Quad Q8400,Intel ,BX80580Q8400 ,Intel Core 2 Quad ,Yorkfield ,Yorkfield ,LGA775 ,4.0,4.0,2.66 GHz ,,4 MB ,0 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Core i3-4160T,Intel ,CM8064601483535 ,Intel Core i3 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,2.0,4.0,3.1 GHz ,,0.5 MB ,3 MB ,35 W ,Intel HD Graphics 4400 ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-6800K,Intel ,CM8067102056201 ,Intel Core i7 ,Broadwell ,Broadwell-E ,LGA2011-3 ,6.0,12.0,3.4 GHz ,3.6 GHz ,1.5 MB ,15 MB ,140 W ,None ,,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-2310,Intel ,BX80623I52310 ,Intel Core i5 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,4.0,4.0,2.9 GHz ,,1 MB ,6 MB ,95 W ,Intel HD Graphics 2000 ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Core i5-2320,Intel ,BX80623I52320 ,Intel Core i5 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,4.0,4.0,3 GHz ,,1 MB ,6 MB ,95 W ,Intel HD Graphics 2000 ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD A8-3870K,AMD ,AD3870WNGXBOX ,AMD A8 ,Lynx ,Llano ,FM1 ,4.0,4.0,3 GHz ,,4 MB ,0 MB ,100 W ,Radeon HD 6550D ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD A6-5400K,AMD ,AD540KOKHJBOX ,AMD A6 ,Piledriver ,Trinity ,FM2 ,2.0,2.0,3.6 GHz ,,1 MB ,0 MB ,65 W ,Radeon HD 7540D ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Core i5-4570S,Intel ,BX80646I54570S ,Intel Core i5 ,Haswell ,Haswell ,LGA1150 ,4.0,4.0,2.9 GHz ,,1 MB ,6 MB ,65 W ,Intel HD Graphics 4600 ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Xeon E5-4650,Intel ,BX80621E54650 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,8.0,16.0,2.7 GHz ,3.3 GHz ,2 MB ,20 MB ,130 W ,None ,,Yes ,No ,Boxed ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2695 V2,Intel ,BX80635E52695V2 ,Intel Xeon E5 ,Ivy Bridge ,Ivy Bridge-EP ,LGA2011 ,12.0,24.0,2.4 GHz ,3.2 GHz ,3 MB ,30 MB ,115 W ,None ,,Yes ,No ,Boxed ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E3-1246 V3,Intel ,BX80646E31246V3 ,Intel Xeon E3 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,4.0,8.0,3.5 GHz ,3.9 GHz ,1 MB ,8 MB ,84 W ,Intel HD Graphics P4600 ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD A10-7870K,AMD ,AD787KXDJCBOX ,AMD A10 ,Steamroller ,Godavari ,FM2+ ,4.0,4.0,3.9 GHz ,4.1 GHz ,4 MB ,0 MB ,95 W ,Radeon R7 (on-die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Pentium G4600,Intel ,BX80677G4600 ,Intel Pentium ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,3.6 GHz ,,0.5 MB ,3 MB ,51 W ,Intel HD Graphics 630 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD A12-9800,AMD ,AD9800AUABBOX ,AMD A12 ,Excavator ,Bristol Ridge ,AM4 ,4.0,4.0,3.8 GHz ,4.2 GHz ,2 MB ,0 MB ,65 W ,Radeon R7 (on-die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Core i3-8100,Intel ,CM8068403377308 ,Intel Core i3 ,Coffee Lake ,Coffee Lake ,LGA1151 ,4.0,4.0,3.6 GHz ,,1 MB ,6 MB ,65 W ,Intel UHD Graphics 630 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core 2 Duo E6400,Intel ,BX80557E6400 ,Intel Core 2 Duo ,Core ,Conroe ,LGA775 ,2.0,2.0,2.13 GHz ,,2 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Core i5-8600,Intel ,CM8068403358607 ,Intel Core i5 ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,6.0,3.1 GHz ,4.3 GHz ,1.5 MB ,9 MB ,65 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Pentium Gold G5400T,Intel ,CM8068403360212 ,Intel Pentium Gold ,Coffee Lake ,Coffee Lake ,LGA1151 ,2.0,4.0,3.1 GHz ,,0.5 MB ,4 MB ,35 W ,Intel UHD Graphics 610 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-965 Extreme Edition,Intel ,BX80601965 ,Intel Core i7 Extreme ,Nehalem ,Bloomfield ,LGA1366 ,4.0,8.0,3.2 GHz ,,1 MB ,8 MB ,130 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD A8-5500,AMD ,AD5500OKHJBOX ,AMD A8 ,Piledriver ,Trinity ,FM2 ,4.0,4.0,3.2 GHz ,,4 MB ,0 MB ,65 W ,Radeon HD 7560D ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD A10-6800K,AMD ,AD680KWOHLBOX ,AMD A10 ,Piledriver ,Richland ,FM2 ,4.0,4.0,4.1 GHz ,,2 MB ,0 MB ,100 W ,Radeon HD 8670D ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Core i3-4130T,Intel ,BX80646I34130T ,Intel Core i3 ,Haswell ,Haswell ,LGA1150 ,2.0,4.0,2.9 GHz ,,0.5 MB ,3 MB ,35 W ,Intel HD Graphics 4400 ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Pentium G3240,Intel ,BX80646G3240 ,Intel Pentium ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,2.0,2.0,3.1 GHz ,,0.5 MB ,3 MB ,53 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Core i5-6500T,Intel ,CM8066201920600 ,Intel Core i5 ,Skylake ,Skylake-S ,LGA1151 ,4.0,4.0,2.5 GHz ,3.1 GHz ,1 MB ,6 MB ,35 W ,Intel HD Graphics 530 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core i7-6850K,Intel ,CM8067102056100 ,Intel Core i7 ,Broadwell ,Broadwell-E ,LGA2011-3 ,6.0,12.0,3.6 GHz ,3.8 GHz ,1.5 MB ,15 MB ,140 W ,None ,,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i3-7320,Intel ,BX80677I37320 ,Intel Core i3 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,4.1 GHz ,,0.5 MB ,4 MB ,51 W ,Intel HD Graphics 630 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Celeron G3950,Intel ,BX80677G3950 ,Intel Celeron ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,2.0,3 GHz ,,0.5 MB ,2 MB ,51 W ,Intel HD Graphics 610 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
Intel Core i7-7700T,Intel ,BX80677I77700T ,Intel Core i7 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,8.0,2.9 GHz ,3.8 GHz ,1 MB ,8 MB ,35 W ,Intel HD Graphics 630 ,64 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD A8-7680,AMD ,AD7680ACABBOX ,AMD A8 ,Puma+ ,Carrizo ,FM2+ ,4.0,4.0,3.5 GHz ,3.8 GHz ,2 MB ,0 MB ,65 W ,Radeon R7 (on-die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Core i7-875K,Intel ,BX80605I7875K ,Intel Core i7 ,Nehalem ,Lynnfield ,LGA1156 ,4.0,8.0,2.93 GHz ,,1 MB ,8 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2630L V3,Intel ,CM8064401832100 ,Intel Xeon E5 ,Haswell ,Haswell-EP ,LGA2011-3 ,8.0,16.0,1.8 GHz ,2.9 GHz ,2 MB ,20 MB ,55 W ,None ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2643 V4,Intel ,CM8066002041500 ,Intel Xeon E5 ,Broadwell ,Broadwell-EP ,LGA2011-3 ,6.0,12.0,3.4 GHz ,3.7 GHz ,1.383 MB ,20 MB ,135 W ,None ,1536 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Athlon II X4 620,AMD ,ADX620WFGIBOX ,AMD Athlon II X4 ,K10 ,Propus ,AM3 ,4.0,4.0,2.6 GHz ,,2 MB ,0 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Pentium E2140,Intel ,BX80557E2140 ,Intel Pentium ,Core ,Conroe ,LGA775 ,2.0,2.0,1.6 GHz ,,1 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Xeon E3-1241 V3,Intel ,BX80646E31241V3 ,Intel Xeon E3 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,4.0,8.0,3.5 GHz ,3.9 GHz ,1 MB ,8 MB ,80 W ,None ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2697 V3,Intel ,CM8064401807100 ,Intel Xeon E5 ,Haswell ,Haswell-EP ,LGA2011-3 ,14.0,28.0,2.6 GHz ,3.6 GHz ,3.5 MB ,35 MB ,145 W ,None ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2687W V3,Intel ,BX80644E52687V3 ,Intel Xeon E5 ,Haswell ,Haswell-EP ,LGA2011-3 ,10.0,20.0,3.1 GHz ,3.5 GHz ,2.5 MB ,25 MB ,160 W ,None ,,Yes ,No ,Boxed ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-6400T,Intel ,CM8066201920000 ,Intel Core i5 ,Skylake ,Skylake-S ,LGA1151 ,4.0,4.0,2.2 GHz ,2.8 GHz ,1 MB ,6 MB ,35 W ,Intel HD Graphics 530 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core i9-9900X,Intel ,BX80673I99900X ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,10.0,20.0,3.5 GHz ,4.4 GHz ,10 MB ,19.25 MB ,165 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-9800X,Intel ,CD8067304126100 ,Intel Core i7 ,Skylake ,Skylake-X ,LGA2066 ,8.0,16.0,3.8 GHz ,4.5 GHz ,8 MB ,16.5 MB ,165 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i3-9350KF,Intel ,BX80684I39350KF ,Intel Core i3 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,4.0,4.0,4 GHz ,4.6 GHz ,1 MB ,8 MB ,91 W ,None ,64 GB ,Yes ,No ,Boxed ,14 nm ,No ,No ,,,
Intel Core i9-10900K,Intel ,BX8070110900KA ,Intel Core i9 ,Comet Lake ,Comet Lake ,LGA1200 ,10.0,20.0,3.7 GHz ,5.3 GHz ,2.5 MB ,20 MB ,125 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Opteron 6344,AMD ,OS6344WKTCGHK ,AMD Opteron ,Piledriver ,Abu Dhabi ,G34 ,12.0,12.0,2.6 GHz ,3.2 GHz ,12 MB ,16 MB ,115 W ,None ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
AMD A10-9700E,AMD ,AD9700AHABBOX ,AMD A10 ,Excavator ,Bristol Ridge ,AM4 ,4.0,4.0,3 GHz ,3.5 GHz ,2 MB ,0 MB ,35 W ,Radeon R7 (on-die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
AMD A12-9800E,AMD ,AD9800AHABBOX ,AMD A12 ,Excavator ,Bristol Ridge ,AM4 ,4.0,4.0,3.1 GHz ,3.8 GHz ,2 MB ,0 MB ,35 W ,Radeon R7 (on-die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
