Name,URL,Image,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Price
ASRock Phantom Gaming PG34QRT2B,https://pcpartpicker.com/product/xYV2FT/asrock-phantom-gaming-pg34qrt2b-340-3440-x-1440-180-hz-curved-monitor-pg34qrt2b,https://cdna.pcpartpicker.com/static/forever/images/product/f61cac67af6c91036fd327c367a5bb9b.256p.jpg,"34.0""",3440 x 1440,180 Hz,,VA,21:9,
LG 27U631A-B,https://pcpartpicker.com/product/3dJBD3/lg-27u631a-b-270-2560-x-1440-100-hz-monitor-27u631a-b,https://cdna.pcpartpicker.com/static/forever/images/product/2b4b50274e45fc5a15be4fe298993585.256p.jpg,"27.0""",2560 x 1440,100 Hz,5 ms,IPS,16:9,169.99
MSI G273CQ,https://pcpartpicker.com/product/9F9wrH/msi-g273cq-270-2560-x-1440-170-hz-curved-monitor-g273cq,https://cdna.pcpartpicker.com/static/forever/images/product/54bce5c15e6b310c9593af4a2ceaf787.256p.jpg,"27.0""",2560 x 1440,170 Hz,,VA,16:9,172.99
Philips Evnia 5000 34M2C5501A,https://pcpartpicker.com/product/k8hv6h/philips-evnia-5000-34m2c5501a-340-3440-x-1440-180-hz-curved-monitor-34m2c5501a01,https://cdna.pcpartpicker.com/static/forever/images/product/b9a4e73a25eabdb6f713350107c30992.256p.jpg,"34.0""",3440 x 1440,180 Hz,1 ms,VA,21:9,
Asus PG279Q ROG Swift,https://pcpartpicker.com/product/XvfmP6/asus-monitor-pg279q,https://m.media-amazon.com/images/I/412KSsaugHL.jpg,"27.0""",2560 x 1440,165 Hz,4 ms,IPS,16:9,
Asus TUF GAMING VG247Q1A,https://pcpartpicker.com/product/Pt2WGX/asus-tuf-gaming-vg247q1a-238-1920x1080-165-hz-monitor-90lm0751-b011b0,https://cdna.pcpartpicker.com/static/forever/images/product/530f71c42fe512ebbd2808126e669bd1.256p.jpg,"23.8""",1920 x 1080,165 Hz,,VA,16:9,179.00
Asus TUF GAMING VG24VQR,https://pcpartpicker.com/product/rPvdnQ/asus-tuf-gaming-vg24vqr-236-1920x1080-165-hz-monitor-vg24vqr,https://cdna.pcpartpicker.com/static/forever/images/product/0829e0d9f6d04bec6a8135294e03e017.256p.jpg,"23.6""",1920 x 1080,165 Hz,,VA,16:9,
Apple LED Cinema,https://pcpartpicker.com/product/xjzv6h/apple-monitor-mc007lla,https://m.media-amazon.com/images/I/41OnhQNjJKL.jpg,"27.0""",2560 x 1440,,12 ms,IPS,16:9,
Gigabyte G27QC,https://pcpartpicker.com/product/DNH8TW/gigabyte-g27qc-270-2560x1440-165-hz-monitor-g27qc,https://cdna.pcpartpicker.com/static/forever/images/product/54147d45ae10409cccfc6c2ac439a54b.256p.jpg,"27.0""",2560 x 1440,165 Hz,,VA,16:9,
Samsung Odyssey G32A,https://pcpartpicker.com/product/MwfnTW/samsung-odyssey-g32a-320-1920x1080-165-hz-monitor-ls32ag320nnxza,https://cdna.pcpartpicker.com/static/forever/images/product/4889bb85773e6273100db4f46e9d653b.256p.jpg,"32.0""",1920 x 1080,165 Hz,,VA,16:9,294.99
LG UltraGear,https://pcpartpicker.com/product/hfWBD3/lg-ultragear-315-2560-x-1440-144-hz-monitor-32gk65b-b,https://cdna.pcpartpicker.com/static/forever/images/product/ef67e05ca1f6c1e35bec7eb40547d53f.256p.jpg,"31.5""",2560 x 1440,144 Hz,5 ms,VA,16:9,
LG 34GP83A-B,https://pcpartpicker.com/product/CnzFf7/lg-34gp83a-b-340-3440x1440-144-hz-monitor-34gp83a-b,https://m.media-amazon.com/images/I/41lRuJTbSqL.jpg,"34.0""",3440 x 1440,144 Hz,1 ms,IPS,21:9,679.99
LG 38WR85QC-W,https://pcpartpicker.com/product/pxdG3C/lg-38wr85qc-w-375-3840-x-1600-144-hz-curved-monitor-38wr85qc-w,https://cdna.pcpartpicker.com/static/forever/images/product/213820ca056a89a32c505a1125b5ead4.256p.jpg,"37.5""",3840 x 1600,144 Hz,1 ms,Nano IPS,12:5,1197.00
Asus ROG Strix XG256Q,https://pcpartpicker.com/product/D2vdnQ/asus-rog-strix-xg256q-245-1920-x-1080-180-hz-monitor-90lm07w0-b01ab0,https://cdna.pcpartpicker.com/static/forever/images/product/737fc44b205ee604b2203239f1eca7b1.256p.jpg,"24.5""",1920 x 1080,180 Hz,1 ms,IPS,16:9,139.00
MSI Pro,https://pcpartpicker.com/product/HhCZxr/msi-pro-245-1920-x-1080-100-hz-monitor-pro-mp251,https://cdna.pcpartpicker.com/static/forever/images/product/4f42b528f7b0d8616ba7c468037ea5a4.256p.jpg,"24.5""",1920 x 1080,100 Hz,4 ms,IPS,16:9,
Samsung M50B,https://pcpartpicker.com/product/cFkWGX/samsung-m50b-270-1920x1080-60-hz-monitor-ls27bm501enxza,https://cdna.pcpartpicker.com/static/forever/images/product/ff4f16c894fce0f34ff4e4e7ac5a1ce5.256p.jpg,"27.0""",1920 x 1080,60 Hz,4 ms,VA,16:9,
Asus ROG Strix XG259CM,https://pcpartpicker.com/product/ZxzhP6/asus-rog-strix-xg259cm-245-1920x1080-240-hz-monitor-90lm07j0-b013b0,https://cdna.pcpartpicker.com/static/forever/images/product/e034ce7ed7db3ec67f0e84e46c157699.256p.jpg,"24.5""",1920 x 1080,240 Hz,1 ms,IPS,16:9,
BenQ MOBIUZ EX240N,https://pcpartpicker.com/product/7yjBD3/benq-mobiuz-ex240n-238-1920-x-1080-165-hz-monitor-ex240n,https://cdna.pcpartpicker.com/static/forever/images/product/e993f8651b1582cb77c5e46f799269b7.256p.jpg,"23.8""",1920 x 1080,165 Hz,4 ms,VA,16:9,
Lenovo ThinkVision S24e-10,https://pcpartpicker.com/product/QHXnTW/lenovo-thinkvision-s24e-10-238-1920x1080-60-hz-monitor-61cakcr1us,https://cdna.pcpartpicker.com/static/forever/images/product/9372dc6bacc863cac32d7e76eb6a9b33.256p.jpg,"23.8""",1920 x 1080,60 Hz,,VA,16:9,137.00
ViewEra V151BN2,https://pcpartpicker.com/product/LtZFf7/viewera-v151bn2-150-1024x768-60-hz-monitor-v151bn2,https://cdna.pcpartpicker.com/static/forever/images/product/24017842caa8c3b68622162fe81b256b.256p.jpg,"15.0""",1024 x 768,60 Hz,8 ms,TN,4:3,175.80
Asus VG278QR,https://pcpartpicker.com/product/Zt848d/asus-vg278qr-270-1920x1080-165-hz-monitor-vg278qr,https://cdna.pcpartpicker.com/static/forever/images/product/1698baacec56a901c0eb416807c20595.256p.jpg,"27.0""",1920 x 1080,165 Hz,0.5 ms,TN,16:9,
MSI Optix G271,https://pcpartpicker.com/product/cFH8TW/msi-optix-g271-270-1920x1080-144-hz-monitor-optix-g271,https://cdna.pcpartpicker.com/static/forever/images/product/c6155b53f474a6418be303bad8de742a.256p.jpg,"27.0""",1920 x 1080,144 Hz,,IPS,16:9,
Acer Nitro VG242YP,https://pcpartpicker.com/product/c7Dkcf/acer-nitro-vg242yp-238-1920x1080-165-hz-monitor-umqv2eep01,https://cdna.pcpartpicker.com/static/forever/images/product/1bd282e0b3d7b633112193ae822645b7.256p.jpg,"23.8""",1920 x 1080,165 Hz,1 ms,IPS,16:9,
Samsung LF27T350FHNXZA,https://pcpartpicker.com/product/jfddnQ/samsung-lf27t350fhnxza-270-1920x1080-75-hz-monitor-lf27t350fhnxza,https://cdna.pcpartpicker.com/static/forever/images/product/1522e6828da0ae04de4d16e4647ae0e1.256p.jpg,"27.0""",1920 x 1080,75 Hz,5 ms,IPS,16:9,
Gigabyte ‎G24F,https://pcpartpicker.com/product/Cnwypg/gigabyte-g24f-238-1920x1080-170-hz-monitor-g24f-sa,https://m.media-amazon.com/images/I/51vOeHm-EvL.jpg,"23.8""",1920 x 1080,170 Hz,2 ms,IPS,16:9,
Dell SE2422H,https://pcpartpicker.com/product/6Qnypg/dell-se2422h-240-1920x1080-75-hz-monitor-se2422h,https://cdna.pcpartpicker.com/static/forever/images/product/1da1e75a363cd784de208a9808ad4ca1.256p.jpg,"24.0""",1920 x 1080,75 Hz,5 ms,VA,16:9,
Gigabyte M27Q-X,https://pcpartpicker.com/product/TxddnQ/gigabyte-m27q-x-270-2560-x-1440-240-hz-monitor-m27q-x,https://cdna.pcpartpicker.com/static/forever/images/product/612fd94f94b440e7aed0cf57479d645b.256p.jpg,"27.0""",2560 x 1440,240 Hz,1 ms,IPS,16:9,
Acer Nitro XZ2 XZ342CU S3,https://pcpartpicker.com/product/hnBFf7/acer-nitro-xz2-xz342cu-s3-340-3440-x-1440-180-hz-curved-monitor-umcx2sg301,https://m.media-amazon.com/images/I/51grOAJu8nL.jpg,"34.0""",3440 x 1440,180 Hz,1 ms,VA,21:9,
HP OMEN 32Q,https://pcpartpicker.com/product/yyTZxr/hp-omen-32q-315-2560-x-1440-165-hz-monitor-omen-32q,https://cdna.pcpartpicker.com/static/forever/images/product/2bbf87bfe278f9405fb4f353518a7f7d.256p.jpg,"31.5""",2560 x 1440,165 Hz,1 ms,IPS,16:9,449.99
INNOCN 49C1R,https://pcpartpicker.com/product/pr7MnQ/innocn-49c1r-490-5120-x-1440-120-hz-curved-monitor-49c1r,https://m.media-amazon.com/images/I/41FKreRsUeL.jpg,"49.0""",5120 x 1440,120 Hz,,VA,32:9,
AOC AGON AG246FK,https://pcpartpicker.com/product/f4Hqqs/aoc-agon-ag246fk-241-1920-x-1080-540-hz-monitor-ag246fk,https://cdna.pcpartpicker.com/static/forever/images/product/50ac8fe86298f524da79ff514e9d9d2a.256p.jpg,"24.1""",1920 x 1080,540 Hz,0.5 ms,TN,16:9,
BenQ BL2780T,https://pcpartpicker.com/product/6nx2FT/benq-bl2780t-270-1920x1080-60-hz-monitor-bl2780t,https://cdna.pcpartpicker.com/static/forever/images/product/6d73c62523099bacf16c9a4cffa74508.256p.jpg,"27.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,129.99
MSI PRO MP242A E2,https://pcpartpicker.com/product/HdMXsY/msi-pro-mp242a-e2-238-1920-x-1080-120-hz-monitor-pro-mp242a-e2,https://cdna.pcpartpicker.com/static/forever/images/product/3a5f016e916c204ed6612af93feca121.256p.jpg,"23.8""",1920 x 1080,120 Hz,4 ms,IPS,16:9,110.73
Acer VG271U Pbmiipx,https://pcpartpicker.com/product/b8VD4D/acer-vg271u-pbmiipx-270-2560x1440-144-hz-monitor-vg271u-pbmiipx,https://cdna.pcpartpicker.com/static/forever/images/product/cd23ef5b99c8a9f2f725365c76a0bf56.256p.jpg,"27.0""",2560 x 1440,144 Hz,1 ms,IPS,16:9,279.99
Dell G2725D,https://pcpartpicker.com/product/mWMMnQ/dell-g2725d-270-2560-x-1440-180-hz-monitor-g2725d,https://cdna.pcpartpicker.com/static/forever/images/product/634bf19ed0041f681ffa31b40c252fe2.256p.jpg,"27.0""",2560 x 1440,180 Hz,1 ms,IPS,16:9,
BenQ GL2780,https://pcpartpicker.com/product/pXH8TW/benq-gl2780-270-1920x1080-75-hz-monitor-gl2780,https://cdna.pcpartpicker.com/static/forever/images/product/28c21837a39a5a3e63be49a9d14ced12.256p.jpg,"27.0""",1920 x 1080,75 Hz,1 ms,TN,16:9,
Asus TUF Gaming VG246H1A,https://pcpartpicker.com/product/BC26Mp/asus-tuf-gaming-vg246h1a-238-1920-x-1080-100-hz-monitor-vg246h1a,https://cdna.pcpartpicker.com/static/forever/images/product/0e97b7a56d4081395a055a541b382c46.256p.jpg,"23.8""",1920 x 1080,100 Hz,,IPS,16:9,
Asus MG248QR,https://pcpartpicker.com/product/gGfhP6/asus-mg248qr-240-1920x1080-144hz-monitor-mg248qr,https://cdna.pcpartpicker.com/static/forever/images/product/f33708587da6546bc0c8f3cdbee0d8a2.256p.jpg,"24.0""",1920 x 1080,144 Hz,1 ms,TN,16:9,249.99
MSI Optix G24C,https://pcpartpicker.com/product/Hh648d/msi-optix-g24c-240-1920x1080-144hz-monitor-optix-g24c,https://cdna.pcpartpicker.com/static/forever/images/product/ef0315b017e0a362c63df41b2143a849.256p.jpg,"23.6""",1920 x 1080,144 Hz,1 ms,VA,16:9,119.99
Asus VP249QGR,https://pcpartpicker.com/product/J7MTwP/asus-vp249qgr-238-1920x1080-144-hz-monitor-vp249qgr,https://cdna.pcpartpicker.com/static/forever/images/product/32b446ab8cb90eb9c5133dd17f0560f6.256p.jpg,"23.8""",1920 x 1080,144 Hz,4 ms,IPS,16:9,
Asus TUF Gaming VG30VQL1A,https://pcpartpicker.com/product/qkKKHx/asus-tuf-gaming-vg30vql1a-295-2560-x-1080-200-hz-curved-monitor-vg30vql1a,https://m.media-amazon.com/images/I/41-3mjuT1SL.jpg,"29.5""",2560 x 1080,200 Hz,,VA,21:9,
Corsair XENEON 34WQHD240-C,https://pcpartpicker.com/product/3DBzK8/corsair-xeneon-34wqhd240-c-340-3440-x-1440-240-hz-curved-monitor-cm-9030005-na,https://cdna.pcpartpicker.com/static/forever/images/product/bd5e576326a0766191f360331e7542f1.256p.jpg,"34.0""",3440 x 1440,240 Hz,0.03 ms,QD-OLED,21:9,
KOORUI S2741LM,https://pcpartpicker.com/product/HKRnTW/koorui-s2741lm-270-3840-x-2160-160-hz-monitor-s2741lm,https://m.media-amazon.com/images/I/51rlDqP3I1L.jpg,"27.0""",3840 x 2160,160 Hz,,IPS QD-Mini LED,16:9,499.99
ViewSonic VX3218C-2K,https://pcpartpicker.com/product/bfpQzy/viewsonic-vx3218c-2k-320-2560-x-1440-165-hz-curved-monitor-vx3218c-2k,https://cdna.pcpartpicker.com/static/forever/images/product/2c2b229a2ad8d625ac8e80f62cc6feb6.256p.jpg,"32.0""",2560 x 1440,165 Hz,,VA,16:9,219.99
Dell Alienware AW3420DW,https://pcpartpicker.com/product/6MFKHx/alienware-aw3420dw-341-3440-x-1440-120-hz-curved-monitor-aw3420dw,https://m.media-amazon.com/images/I/31irDblnEvL.jpg,"34.1""",3440 x 1440,120 Hz,2 ms,IPS,21:9,719.00
Asus ROG Swift OLED PG42UQ,https://pcpartpicker.com/product/9c92FT/asus-rog-swift-oled-pg42uq-415-3840-x-2160-138-hz-monitor-90lm0850-b011b0,https://cdna.pcpartpicker.com/static/forever/images/product/d7bb141ce87110b2d00c84ecba3d507b.256p.jpg,"41.5""",3840 x 2160,138 Hz,0.1 ms,OLED,16:9,
AOC CU34G2X/BK,https://pcpartpicker.com/product/LmRgXL/aoc-cu34g2xbk-340-3440-x-1440-144-hz-curved-monitor-cu34g2xbk,https://cdna.pcpartpicker.com/static/forever/images/product/5be6fdd27129bbfd49b2ea66187482ba.256p.jpg,"34.0""",3440 x 1440,144 Hz,,VA,21:9,499.99
KOORUI GN10,https://pcpartpicker.com/product/QrZXsY/koorui-gn10-270-2560-x-1440-240-hz-monitor-gn10,https://m.media-amazon.com/images/I/51bdjLUZIBL.jpg,"27.0""",2560 x 1440,240 Hz,1 ms,VA Mini LED,16:9,
ASRock PG27F15RS1A,https://pcpartpicker.com/product/6TwmP6/asrock-pg27f15rs1a-270-1920-x-1080-240-hz-curved-monitor-pg27f15rs1a,https://cdna.pcpartpicker.com/static/forever/images/product/4a8b6f6bcae5cc5d175bbfd01fa62236.256p.jpg,"27.0""",1920 x 1080,240 Hz,,VA,16:9,
Asus ROG Strix XG349C,https://pcpartpicker.com/product/Q2bTwP/asus-rog-strix-xg349c-341-3440x1440-180-hz-curved-monitor-90lm06v0-b01ab0,https://cdna.pcpartpicker.com/static/forever/images/product/1bd060775d8fdea450f5fdca41c6ed75.256p.jpg,"34.1""",3440 x 1440,180 Hz,1 ms,IPS,21:9,
Acer EK220Q Abi,https://pcpartpicker.com/product/29LFf7/acer-ek220q-abi-215-1920x1080-75-hz-monitor-ek220q-abi,https://m.media-amazon.com/images/I/41mAiXkkFBL.jpg,"21.5""",1920 x 1080,75 Hz,5 ms,VA,16:9,139.90
Sceptre E205W-1600,https://pcpartpicker.com/product/Vf7CmG/sceptre-monitor-e205w1600,https://cdna.pcpartpicker.com/static/forever/images/product/742c77bddb5484d4bb0c8f1dc638cb73.med.256p.jpg,"20.0""",1600 x 900,60 Hz,5 ms,TN,16:9,79.99
Dell S2417DG,https://pcpartpicker.com/product/CwgPxr/dell-s2417dg-238-165hz-monitor-s2417dg,https://cdna.pcpartpicker.com/static/forever/images/product/9003752ebef8edca1948e621398d34f0.256p.jpg,"23.8""",2560 x 1440,165 Hz,1 ms,TN,16:9,
HP OMEN X Emperium 65,https://pcpartpicker.com/product/mmtQzy/hp-omen-x-emperium-65-650-3840x2160-144-hz-monitor-4wy70aaaba,https://cdna.pcpartpicker.com/static/forever/images/product/79694b128aac4fe9ebb90dd7f0ce184b.256p.jpg,"65.0""",3840 x 2160,144 Hz,4 ms,VA,16:9,
Asus TUF GAMING VG259Q,https://pcpartpicker.com/product/fTmFf7/asus-tuf-gaming-vg259q-245-1920x1080-144-hz-monitor-vg259q,https://cdna.pcpartpicker.com/static/forever/images/product/60b5a60a8d925278cede801eef223a15.256p.jpg,"24.5""",1920 x 1080,144 Hz,,IPS,16:9,
HP Omen 27i,https://pcpartpicker.com/product/3VTzK8/hp-omen-27i-270-2560x1440-165-hz-monitor-8ac94aaaba,https://cdna.pcpartpicker.com/static/forever/images/product/378807f5fca1157d0ab54b056f1b2ff3.256p.jpg,"27.0""",2560 x 1440,165 Hz,,IPS,16:9,
Acer XB273U GXbmiipruzx,https://pcpartpicker.com/product/9Xxbt6/acer-xb273u-gxbmiipruzx-270-2560x1440-240-hz-monitor-umhx3aax05,https://cdna.pcpartpicker.com/static/forever/images/product/5a3dfc1db100e2a0eae69719a7330c41.256p.jpg,"27.0""",2560 x 1440,240 Hz,1 ms,IPS,16:9,
MSI MAG 325CQRF-QD,https://pcpartpicker.com/product/M2rqqs/msi-mag-325cqrf-qd-315-2560-x-1440-170-hz-curved-monitor-mag325cqrf-qd,https://cdna.pcpartpicker.com/static/forever/images/product/da6b48252b2a6e90afaa1e65f9242a34.256p.jpg,"31.5""",2560 x 1440,170 Hz,1 ms,VA,16:9,
LG 27UL500-W,https://pcpartpicker.com/product/dprYcf/lg-27ul500-w-270-3840x2160-60-hz-monitor-27ul500-w,https://cdna.pcpartpicker.com/static/forever/images/product/274d445eb56eee4ad52acb4e40549a43.256p.jpg,"27.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,214.99
Gigabyte M27QA,https://pcpartpicker.com/product/h49nTW/gigabyte-m27qa-270-2560-x-1440-180-hz-monitor-m27qa,https://cdna.pcpartpicker.com/static/forever/images/product/fc0fce892ada963b8d9bb5c09e28a50e.256p.jpg,"27.0""",2560 x 1440,180 Hz,,,16:9,
Pixio PX248 Wave,https://pcpartpicker.com/product/n3hv6h/pixio-px248-wave-238-1920-x-1080-200-hz-monitor-px248wave,https://m.media-amazon.com/images/I/518nA+Oav-L.jpg,"23.8""",1920 x 1080,200 Hz,1 ms,IPS,16:9,159.99
Asus ROG Strix XG27AQ-W,https://pcpartpicker.com/product/D2M48d/asus-rog-strix-xg27aq-w-270-2560x1440-170-hz-monitor-90lm06u0-b033b0,https://cdna.pcpartpicker.com/static/forever/images/product/b2aedf5e261583431027086a37b980cb.256p.jpg,"27.0""",2560 x 1440,170 Hz,1 ms,IPS,16:9,349.00
MSI Optix G32CQ4 E2,https://pcpartpicker.com/product/s3RwrH/msi-optix-g32cq4-e2-315-2560-x-1440-170-hz-curved-monitor-g32cq4-e2,https://cdna.pcpartpicker.com/static/forever/images/product/fdbf02ba8eb5337d2d8ce93f4a7d0059.256p.jpg,"31.5""",2560 x 1440,170 Hz,,VA,16:9,
Asus TUF Gaming VG249Q1R,https://pcpartpicker.com/product/H34Zxr/asus-tuf-gaming-vg249q1r-238-1920-x-1080-165-hz-monitor-90lm05v1-b01eb0,https://cdna.pcpartpicker.com/static/forever/images/product/3c39c66d0f4c8261a62dbf3b74d7fb99.256p.jpg,"23.8""",1920 x 1080,165 Hz,,IPS,16:9,169.99
Philips 241E1SCA/00,https://pcpartpicker.com/product/s7gQzy/philips-241e1sca00-236-1920x1080-75-hz-monitor-241e1sca00,https://cdna.pcpartpicker.com/static/forever/images/product/8d2e09c42c5cb9b27dde44c97bdda3b5.256p.jpg,"23.6""",1920 x 1080,75 Hz,4 ms,VA,16:9,
HP X27q,https://pcpartpicker.com/product/cB3gXL/hp-x27q-270-2560x1440-165-hz-monitor-2v7u5aaabu,https://cdna.pcpartpicker.com/static/forever/images/product/24252ada5591ffda57b4099ad8c353d6.256p.jpg,"27.0""",2560 x 1440,165 Hz,1 ms,IPS,16:9,
Samsung CF390,https://pcpartpicker.com/product/ZwWzK8/samsung-cf390-240-1920x1080-monitor-lc24f390fhnxza,https://cdna.pcpartpicker.com/static/forever/images/product/c01281bcca59231a78e95caf44307a79.256p.jpg,"24.0""",1920 x 1080,,,VA,16:9,89.99
MSI MEG 342C QD OLED,https://pcpartpicker.com/product/Zv3NnQ/msi-meg-342c-qd-oled-342-3440-x-1440-175-hz-curved-monitor-meg-342c-qd-oled,https://cdna.pcpartpicker.com/static/forever/images/product/f5a0c06d191060c7645b593c78689783.256p.jpg,"34.2""",3440 x 1440,175 Hz,0.1 ms,QD-OLED,21:9,
HP L1506x,https://pcpartpicker.com/product/7TK7YJ/hp-monitor-ll543a8aba,https://images-na.ssl-images-amazon.com/images/I/41cgW7l6JnL.jpg,"15.0""",1024 x 768,75 Hz,8 ms,,4:3,
iiyama G-MASTER RED EAGLE,https://pcpartpicker.com/product/YQc48d/iiyama-g-master-red-eagle-270-2560x1440-144hz-monitor-gb2760qsu-b1,https://cdna.pcpartpicker.com/static/forever/images/product/bbda74d277301a3dc0511ebadfc55553.256p.jpg,"27.0""",2560 x 1440,144 Hz,1 ms,TN,16:9,
Acer EK241Y,https://pcpartpicker.com/product/Xp6qqs/acer-ek241y-238-1920x1080-75-hz-monitor-umqe1aa004,https://cdna.pcpartpicker.com/static/forever/images/product/d8d44211ae82ab05f2d342d0062778b7.256p.jpg,"23.8""",1920 x 1080,75 Hz,4 ms,IPS,16:9,
HUAWEI MateView GT Sound Edition,https://pcpartpicker.com/product/s9pzK8/huawei-mateview-gt-sound-edition-340-3440x1440-165-hz-monitor-zqe-caa,https://m.media-amazon.com/images/I/412WS42vONL.jpg,"34.0""",3440 x 1440,165 Hz,4 ms,VA,21:9,
LC-Power M27-QHD-144-C-V2,https://pcpartpicker.com/product/ykFmP6/lc-power-m27-qhd-144-c-v2-270-2560-x-1440-144-hz-monitor-lc-m27-qhd-144-c-v2,https://cdna.pcpartpicker.com/static/forever/images/product/4c8b7fa1efb29c67c7cd303ca19e9e99.256p.jpg,"27.0""",2560 x 1440,144 Hz,4 ms,VA,16:9,
AOC AGON AG256FS,https://pcpartpicker.com/product/nqCZxr/aoc-agon-ag256fs-245-1920-x-1080-390-hz-monitor-ag256fs,https://cdna.pcpartpicker.com/static/forever/images/product/50ac8fe86298f524da79ff514e9d9d2a.256p.jpg,"24.5""",1920 x 1080,390 Hz,1 ms,IPS,16:9,
Asus TUF Gaming,https://pcpartpicker.com/product/VbpD4D/asus-tuf-gaming-270-2560-x-1440-260-hz-monitor-vg27aqm1a,https://m.media-amazon.com/images/I/41db+aKKenL.jpg,"27.0""",2560 x 1440,260 Hz,1 ms,IPS,16:9,
ViewSonic XG2736-2K,https://pcpartpicker.com/product/HhG2FT/viewsonic-xg2736-2k-270-2560-x-1440-240-hz-monitor-xg2736-2k,https://m.media-amazon.com/images/I/417+6pnCjBL.jpg,"27.0""",2560 x 1440,240 Hz,2 ms,IPS,16:9,319.99
Samsung M90SF,https://pcpartpicker.com/product/frfV3C/samsung-m90sf-320-3840-x-2160-165-hz-monitor-ls32fm902snxza,https://m.media-amazon.com/images/I/41LlDoa+t+L.jpg,"32.0""",3840 x 2160,165 Hz,0.03 ms,QD-OLED,16:9,1199.99
Acer Nitro XV273K Pbmiipphzx,https://pcpartpicker.com/product/xwdxFT/acer-nitro-xv273k-pbmiipphzx-270-3840x2160-144-hz-monitor-xv273k-pbmiipphzx,https://m.media-amazon.com/images/I/51RSPBc0OoS.jpg,"27.0""",3840 x 2160,144 Hz,1 ms,IPS,16:9,399.99
Samsung SJ55W,https://pcpartpicker.com/product/bJwkcf/samsung-sj55w-341-3440x1440-75-hz-monitor-ls34j550wqnxza,https://cdna.pcpartpicker.com/static/forever/images/product/13a63418a347c4cb7a59c25f28acd9bf.256p.jpg,"34.1""",3440 x 1440,75 Hz,4 ms,VA,21:9,307.00
ViewSonic VX4381-4K,https://pcpartpicker.com/product/DQfnTW/viewsonic-vx4381-4k-430-3840x2160-monitor-vx4381-4k,https://cdna.pcpartpicker.com/static/forever/images/product/a0ba8e8c7f4ac434fd7c54690701aa85.256p.jpg,"43.0""",3840 x 2160,,3 ms,VA,16:9,569.99
Samsung Odyssey Neo G75NB,https://pcpartpicker.com/product/k2cG3C/samsung-odyssey-neo-g75nb-320-3840-x-2160-165-hz-curved-monitor-ls32bg752nnxgo,https://m.media-amazon.com/images/I/41Vn84ve-iL.jpg,"32.0""",3840 x 2160,165 Hz,1 ms,VA Mini LED,16:9,
Sceptre C345W-2560UN,https://pcpartpicker.com/product/N3mFf7/sceptre-c345w-2560un-340-2560x1080-100-hz-monitor-c345w-2560un,https://m.media-amazon.com/images/I/41P4Y+is9bL.jpg,"34.0""",2560 x 1080,100 Hz,6 ms,VA,21:9,249.97
Samsung S22A450BW-1,https://pcpartpicker.com/product/zCxfrH/samsung-monitor-s22a450bw1,https://m.media-amazon.com/images/I/31yUtStkB2L.jpg,"22.0""",1680 x 1050,,5 ms,,16:10,68.00
Samsung CF396,https://pcpartpicker.com/product/Jb3gXL/samsung-cf396-240-1920x1080-60-hz-monitor-lc24f396fhnxza,https://cdna.pcpartpicker.com/static/forever/images/product/60bda30b689f216f9b0bbf7704d976be.256p.jpg,"24.0""",1920 x 1080,60 Hz,4 ms,VA,16:9,116.99
LG 27GN750-B,https://pcpartpicker.com/product/jFxbt6/lg-27gn750-b-270-1920x1080-240-hz-monitor-27gn750-b,https://m.media-amazon.com/images/I/51HJWYChCfL.jpg,"27.0""",1920 x 1080,240 Hz,1 ms,IPS,16:9,
LG 27GQ40W-B,https://pcpartpicker.com/product/CYstt6/lg-27gq40w-b-270-1920x1080-165-hz-monitor-27gq40w-b,https://cdna.pcpartpicker.com/static/forever/images/product/c8a9e7321530e1389011b47de15d1df6.256p.jpg,"27.0""",1920 x 1080,165 Hz,5 ms,VA,16:9,169.00
Acer GN246HL,https://pcpartpicker.com/product/PmyFf7/acer-monitor-umfg6aab01,https://cdna.pcpartpicker.com/static/forever/images/product/14f6742057cc0eab3c876485e50d9f0c.256p.jpg,"24.0""",1920 x 1080,144 Hz,1 ms,TN,16:9,
Acer K222HQL,https://pcpartpicker.com/product/8tnG3C/acer-monitor-k222hql,https://cdna.pcpartpicker.com/static/forever/images/product/c9720b56df43771994315fa023f6caf0.256p.jpg,"21.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,94.99
Asus VG278Q,https://pcpartpicker.com/product/zLkj4D/asus-vg278q-270-1920x1080-144-hz-monitor-vg278q,https://cdna.pcpartpicker.com/static/forever/images/product/5c00380802ac4cbcfe415b476f106153.256p.jpg,"27.0""",1920 x 1080,144 Hz,1 ms,TN,16:9,
Acer Predator XB272 bmiprz,https://pcpartpicker.com/product/c3tQzy/acer-predator-xb272-bmiprz-270-1920x1080-240hz-monitor-xb272-bmiprz,https://images-eu.ssl-images-amazon.com/images/I/41FyXVTxg1L.jpg,"27.0""",1920 x 1080,240 Hz,1 ms,TN,16:9,
iiyama G-MASTER BLACK HAWK,https://pcpartpicker.com/product/24BTwP/iiyama-g2530hsu-b1-245-1920x1080-75hz-monitor-g2530hsu-b1,https://m.media-amazon.com/images/I/41RJu0RmHFL.jpg,"24.5""",1920 x 1080,75 Hz,1 ms,TN,16:9,
